node_id,betweenness
140,0.08432783683562499
458,0.04599236642161584
1139,0.04377894625439871
195,0.04266557437050757
370,0.03917755951156781
566,0.03641335907454374
136,0.030587747730004614
273,0.029412387635565224
292,0.02769159202577101
353,0.026277854433265215
1824,0.024505881849881273
1028,0.023941998905492746
543,0.02317422448865745
1768,0.02069022851630404
76,0.02054289435546772
734,0.020004056339935357
213,0.0198903613560846
127,0.01980915125967759
114,0.01840797781957444
175,0.017843062469518008
